record - header - datestamp,record - metadata - oai_dc:dc - dc:identifier,record - metadata - oai_dc:dc - dc:source,record - metadata - oai_dc:dc - dc:language,record - metadata - oai_dc:dc - dc:title - xml:lang,record - metadata - oai_dc:dc - dc:title,record - metadata - oai_dc:dc - dc:format,record - metadata - oai_dc:dc - dc:subject - xml:lang,record - metadata - oai_dc:dc - dc:subject,record - metadata - oai_dc:dc - dc:publisher,record - metadata - oai_dc:dc - dc:type,record - metadata - oai_dc:dc - dc:creator,record - metadata - oai_dc:dc - dc:coverage,record - metadata - oai_dc:dc - dc:description,record - metadata - oai_dc:dc - dc:description - xml:lang,record - metadata - oai_dc:dc - dc:rights,record - metadata - oai_dc:dc - dc:relation,record - header - identifier
2021-01-12T16:49:52Z,clarin-ids:gewiss.GEWISS_R_SV_UK_027.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_R_SV_UK_027.cmdi
,GEWISS_R_SV_UK_027.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:52Z,clarin-ids:gewiss.GEWISS_R_SV_UK_028.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_R_SV_UK_028.cmdi
,GEWISS_R_SV_UK_028.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:52Z,clarin-ids:gewiss.GEWISS_R_SV_UK_029.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_R_SV_UK_029.cmdi
,GEWISS_R_SV_UK_029.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:52Z,clarin-ids:gewiss.GEWISS_R_SV_UK_030.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_R_SV_UK_030.cmdi
,GEWISS_R_SV_UK_030.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:52Z,clarin-ids:gewiss.GEWISS_R_SV_UK_031.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_R_SV_UK_031.cmdi
,GEWISS_R_SV_UK_031.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:52Z,clarin-ids:gewiss.GEWISS_R_SV_UK_032.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_R_SV_UK_032.cmdi
,GEWISS_R_SV_UK_032.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:52Z,clarin-ids:gewiss.GEWISS_R_SV_UK_033.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_R_SV_UK_033.cmdi
,GEWISS_R_SV_UK_033.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:52Z,clarin-ids:gewiss.GEWISS_R_SV_UK_004.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_R_SV_UK_004.cmdi
